"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 13 13:58:56 IST 2021","Sun Jun 13 13:59:00 IST 2021","4450","","test_carwala","Test_CarWale","","","test_getcarnamesandprices[BMW]",""
"broken","Sun Jun 13 14:01:47 IST 2021","Sun Jun 13 14:01:58 IST 2021","10345","","test_carwala","Test_CarWale","","","test_gotonewcar",""
"passed","Sun Jun 13 14:01:58 IST 2021","Sun Jun 13 14:02:01 IST 2021","2212","","test_carwala","Test_CarWale","","","test_selectcar[BMW]",""
"passed","Sun Jun 13 13:58:51 IST 2021","Sun Jun 13 13:58:56 IST 2021","4844","","test_carwala","Test_CarWale","","","test_getcarnamesandprices[Honda]",""
